mls,campus_number,school_district,school,rating
20257555,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
20437368,101912396,HOUSTON ISD,RAY DAILY ELEMENTARY,B
20437368,101912036,HOUSTON ISD,WESTSIDE HIGH SCHOOL,B
20485385,101912058,HOUSTON ISD,GREGORY-LINCOLN ELEMENTARY,D
20485385,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
20492616,101912216,HOUSTON ISD,PATTERSON ELEMENTARY,B
20492616,101912027,HOUSTON ISD,CHAVEZ HIGH SCHOOL,C
20499823,101912156,HOUSTON ISD,FROST ELEMENTARY,B
20499823,101912014,HOUSTON ISD,STERLING HIGH SCHOOL,C
20578577,101912114,HOUSTON ISD,BRAEBURN ELEMENTARY,B
20578577,101912002,HOUSTON ISD,BELLAIRE HIGH SCHOOL,B
20603539,101912224,HOUSTON ISD,RED ELEMENTARY,B
20603539,101912017,HOUSTON ISD,WESTBURY HIGH SCHOOL,C
20609299,101912174,HOUSTON ISD,HIGHLAND HTS ELEMENTARY,D
20609299,101912016,HOUSTON ISD,WASHINGTON B T HIGH SCHOOL,C
20637019,101912228,HOUSTON ISD,RIVER OAKS ELEMENTARY,A
20637019,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
20653756,101912137,HOUSTON ISD,DE CHAUMES ELEMENTARY,B
20653756,101912310,HOUSTON ISD,HOUSTON MATH SCIENCE AND TECHNOLOG,C
20660511,101912120,HOUSTON ISD,BROWNING ELEMENTARY,C
20660511,101912012,HOUSTON ISD,HEIGHTS HIGH SCHOOL,B
20680733,101912130,HOUSTON ISD,CONDIT ELEMENTARY,A
20680733,101912002,HOUSTON ISD,BELLAIRE HIGH SCHOOL,B
20681303,101912124,HOUSTON ISD,BURNET ELEMENTARY,B
20681303,101912001,HOUSTON ISD,AUSTIN HIGH SCHOOL,C
20683119,101912170,HOUSTON ISD,HELMS ELEMENTARY,B
20683119,101912012,HOUSTON ISD,HEIGHTS HIGH SCHOOL,B
20683819,101912152,HOUSTON ISD,FIELD ELEMENTARY,A
20683819,101912012,HOUSTON ISD,HEIGHTS HIGH SCHOOL,B
20684110,101912188,HOUSTON ISD,KENNEDY ELEMENTARY,C
20684110,101912016,HOUSTON ISD,WASHINGTON B T HIGH SCHOOL,C
20692092,101912245,HOUSTON ISD,STEVENS ELEMENTARY,D
20692092,101912015,HOUSTON ISD,WALTRIP HIGH SCHOOL,C
20780265,101912192,HOUSTON ISD,LANTRIP ELEMENTARY,C
20780265,101912001,HOUSTON ISD,AUSTIN HIGH SCHOOL,C
20791385,101912252,HOUSTON ISD,WAINWRIGHT ELEMENTARY,D
20791385,101912024,HOUSTON ISD,SCARBOROUGH HIGH SCHOOL,C
20869537,101912124,HOUSTON ISD,BURNET ELEMENTARY,B
20869537,101912018,HOUSTON ISD,WHEATLEY HIGH SCHOOL,F
20895706,101912116,HOUSTON ISD,BRIARGROVE ELEMENTARY,B
20895706,101912009,HOUSTON ISD,WISDOM HIGH SCHOOL,C
20967790,101912233,HOUSTON ISD,RUCKER ELEMENTARY,F
20967790,101912027,HOUSTON ISD,CHAVEZ HIGH SCHOOL,C
20985865,101912224,HOUSTON ISD,RED ELEMENTARY,B
20985865,101912002,HOUSTON ISD,BELLAIRE HIGH SCHOOL,B
21005895,101912239,HOUSTON ISD,SHEARN ELEMENTARY,C
21005895,101912010,HOUSTON ISD,MADISON HIGH SCHOOL,C
21037204,101912221,HOUSTON ISD,POE ELEMENTARY,B
21037204,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
21059713,101912173,HOUSTON ISD,HEROD ELEMENTARY,A
21059713,101912002,HOUSTON ISD,BELLAIRE HIGH SCHOOL,B
21077061,101912253,HOUSTON ISD,WALNUT BEND ELEMENTARY,C
21077061,101912036,HOUSTON ISD,WESTSIDE HIGH SCHOOL,B
21095452,101912157,HOUSTON ISD,GARDEN OAKS MONTESSORI,C
21095452,101912016,HOUSTON ISD,WASHINGTON B T HIGH SCHOOL,C
21110359,101912239,HOUSTON ISD,SHEARN ELEMENTARY,C
21110359,101912010,HOUSTON ISD,MADISON HIGH SCHOOL,C
21226607,101912259,HOUSTON ISD,WILSON MONTESSORI,C
21226607,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
21254096,101912267,HOUSTON ISD,WHITE ELEMENTARY,B
21254096,101912023,HOUSTON ISD,SHARPSTOWN HIGH SCHOOL,C
21315276,101912058,HOUSTON ISD,GREGORY-LINCOLN ELEMENTARY,D
21315276,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
21342160,101912247,HOUSTON ISD,YOUNG ELEMENTARY,F
21342160,101912019,HOUSTON ISD,WORTHING HIGH SCHOOL,C
21401956,101912102,HOUSTON ISD,ALCOTT ELEMENTARY,B
21401956,101912019,HOUSTON ISD,WORTHING HIGH SCHOOL,C
21419382,101912253,HOUSTON ISD,WALNUT BEND ELEMENTARY,C
21419382,101912036,HOUSTON ISD,WESTSIDE HIGH SCHOOL,B
21447393,101912125,HOUSTON ISD,BURRUS ELEMENTARY,C
21447393,101912016,HOUSTON ISD,WASHINGTON B T HIGH SCHOOL,C
21498467,101912245,HOUSTON ISD,STEVENS ELEMENTARY,D
21498467,101912015,HOUSTON ISD,WALTRIP HIGH SCHOOL,C
21501605,101912251,HOUSTON ISD,TWAIN ELEMENTARY,A
21501605,101912002,HOUSTON ISD,BELLAIRE HIGH SCHOOL,B
21562050,101912248,HOUSTON ISD,SUTTON ELEMENTARY,B
21562050,101912023,HOUSTON ISD,SHARPSTOWN HIGH SCHOOL,C
21564639,101912257,HOUSTON ISD,WHIDBY ELEMENTARY,F
21564639,101912020,HOUSTON ISD,YATES HIGH SCHOOL,D
21585737,101912120,HOUSTON ISD,BROWNING ELEMENTARY,C
21585737,101912012,HOUSTON ISD,HEIGHTS HIGH SCHOOL,B
21672257,101912243,HOUSTON ISD,THOMPSON ELEMENTARY,C
21672257,101912020,HOUSTON ISD,YATES HIGH SCHOOL,D
21704234,101912135,HOUSTON ISD,CROCKETT ELEMENTARY,A
21704234,101912012,HOUSTON ISD,HEIGHTS HIGH SCHOOL,B
21715414,101912111,HOUSTON ISD,BONHAM ELEMENTARY,C
21715414,101912023,HOUSTON ISD,SHARPSTOWN HIGH SCHOOL,C
21780891,101912259,HOUSTON ISD,WILSON MONTESSORI,C
21780891,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
21845693,101912196,HOUSTON ISD,LONGFELLOW ELEMENTARY,B
21845693,101912002,HOUSTON ISD,BELLAIRE HIGH SCHOOL,B
21979327,101912396,HOUSTON ISD,RAY DAILY ELEMENTARY,B
21979327,101912036,HOUSTON ISD,WESTSIDE HIGH SCHOOL,B
22026485,101912105,HOUSTON ISD,ANDERSON ELEMENTARY,D
22026485,101912017,HOUSTON ISD,WESTBURY HIGH SCHOOL,C
22058793,101912188,HOUSTON ISD,KENNEDY ELEMENTARY,C
22058793,101912016,HOUSTON ISD,WASHINGTON B T HIGH SCHOOL,C
22092907,101912155,HOUSTON ISD,FRANKLIN ELEMENTARY,D
22092907,101912001,HOUSTON ISD,AUSTIN HIGH SCHOOL,C
22118694,101912251,HOUSTON ISD,TWAIN ELEMENTARY,A
22118694,101912002,HOUSTON ISD,BELLAIRE HIGH SCHOOL,B
22126601,101912199,HOUSTON ISD,LOVETT ELEMENTARY,B
22126601,101912002,HOUSTON ISD,BELLAIRE HIGH SCHOOL,B
22128284,101912124,HOUSTON ISD,BURNET ELEMENTARY,B
22128284,101912001,HOUSTON ISD,AUSTIN HIGH SCHOOL,C
22131443,101912178,HOUSTON ISD,HORN ELEMENTARY,A
22131443,101912002,HOUSTON ISD,BELLAIRE HIGH SCHOOL,B
22134801,101912475,HOUSTON ISD,ELMORE ELEMENTARY,C
22134801,101912007,HOUSTON ISD,KASHMERE HIGH SCHOOL,C
22142483,101912253,HOUSTON ISD,WALNUT BEND ELEMENTARY,C
22142483,101912036,HOUSTON ISD,WESTSIDE HIGH SCHOOL,B
22191368,101912110,HOUSTON ISD,BLACKSHEAR ELEMENTARY,C
22191368,101912020,HOUSTON ISD,YATES HIGH SCHOOL,D
22218895,101912228,HOUSTON ISD,RIVER OAKS ELEMENTARY,A
22218895,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
22244297,101912224,HOUSTON ISD,RED ELEMENTARY,B
22244297,101912017,HOUSTON ISD,WESTBURY HIGH SCHOOL,C
22284731,101912204,HOUSTON ISD,MEMORIAL ELEMENTARY,A
22284731,101912012,HOUSTON ISD,HEIGHTS HIGH SCHOOL,B
22406972,101912192,HOUSTON ISD,LANTRIP ELEMENTARY,C
22406972,101912001,HOUSTON ISD,AUSTIN HIGH SCHOOL,C
22431351,101912245,HOUSTON ISD,STEVENS ELEMENTARY,D
22431351,101912015,HOUSTON ISD,WALTRIP HIGH SCHOOL,C
22440945,101912178,HOUSTON ISD,HORN ELEMENTARY,A
22440945,101912002,HOUSTON ISD,BELLAIRE HIGH SCHOOL,B
22441580,101912204,HOUSTON ISD,MEMORIAL ELEMENTARY,A
22441580,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
22469562,101912130,HOUSTON ISD,CONDIT ELEMENTARY,A
22469562,101912002,HOUSTON ISD,BELLAIRE HIGH SCHOOL,B
22521265,101912254,HOUSTON ISD,WESLEY ELEMENTARY,D
22521265,101912016,HOUSTON ISD,WASHINGTON B T HIGH SCHOOL,C
22522899,101912174,HOUSTON ISD,HIGHLAND HTS ELEMENTARY,D
22522899,101912016,HOUSTON ISD,WASHINGTON B T HIGH SCHOOL,C
22523359,101912224,HOUSTON ISD,RED ELEMENTARY,B
22523359,101912017,HOUSTON ISD,WESTBURY HIGH SCHOOL,C
22534509,101912274,HOUSTON ISD,ASKEW ELEMENTARY,C
22534509,101912036,HOUSTON ISD,WESTSIDE HIGH SCHOOL,B
22548857,101912110,HOUSTON ISD,BLACKSHEAR ELEMENTARY,C
22548857,101912020,HOUSTON ISD,YATES HIGH SCHOOL,D
22551479,101912130,HOUSTON ISD,CONDIT ELEMENTARY,A
22551479,101912002,HOUSTON ISD,BELLAIRE HIGH SCHOOL,B
22593375,101912156,HOUSTON ISD,FROST ELEMENTARY,B
22593375,101912014,HOUSTON ISD,STERLING HIGH SCHOOL,C
22594805,101912108,HOUSTON ISD,BASTIAN ELEMENTARY,B
22594805,101912019,HOUSTON ISD,WORTHING HIGH SCHOOL,C
22620714,101912224,HOUSTON ISD,RED ELEMENTARY,B
22620714,101912017,HOUSTON ISD,WESTBURY HIGH SCHOOL,C
22686426,101912116,HOUSTON ISD,BRIARGROVE ELEMENTARY,B
22686426,101912009,HOUSTON ISD,WISDOM HIGH SCHOOL,C
22688398,101912149,HOUSTON ISD,EMERSON ELEMENTARY,C
22688398,101912009,HOUSTON ISD,WISDOM HIGH SCHOOL,C
22741989,101912253,HOUSTON ISD,WALNUT BEND ELEMENTARY,C
22741989,101912036,HOUSTON ISD,WESTSIDE HIGH SCHOOL,B
22767989,101912239,HOUSTON ISD,SHEARN ELEMENTARY,C
22767989,101912017,HOUSTON ISD,WESTBURY HIGH SCHOOL,C
22768218,101912479,HOUSTON ISD,SHADYDALE ELEMENTARY,C
22768218,101912477,HOUSTON ISD,NORTH FOREST HIGH SCHOOL,D
22785384,101912124,HOUSTON ISD,BURNET ELEMENTARY,B
22785384,101912001,HOUSTON ISD,AUSTIN HIGH SCHOOL,C
22786898,101912116,HOUSTON ISD,BRIARGROVE ELEMENTARY,B
22786898,101912009,HOUSTON ISD,WISDOM HIGH SCHOOL,C
22823093,101912149,HOUSTON ISD,EMERSON ELEMENTARY,C
22823093,101912009,HOUSTON ISD,WISDOM HIGH SCHOOL,C
22829072,101912116,HOUSTON ISD,BRIARGROVE ELEMENTARY,B
22829072,101912009,HOUSTON ISD,WISDOM HIGH SCHOOL,C
22961328,101912273,HOUSTON ISD,ASHFORD ELEMENTARY,F
22961328,101912036,HOUSTON ISD,WESTSIDE HIGH SCHOOL,B
22963749,101912169,HOUSTON ISD,HARVARD ELEMENTARY,A
22963749,101912012,HOUSTON ISD,HEIGHTS HIGH SCHOOL,B
22976241,101912204,HOUSTON ISD,MEMORIAL ELEMENTARY,A
22976241,101912015,HOUSTON ISD,WALTRIP HIGH SCHOOL,C
22986427,101912116,HOUSTON ISD,BRIARGROVE ELEMENTARY,B
22986427,101912009,HOUSTON ISD,WISDOM HIGH SCHOOL,C
22987504,101912204,HOUSTON ISD,MEMORIAL ELEMENTARY,A
22987504,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
23027568,101912174,HOUSTON ISD,HIGHLAND HTS ELEMENTARY,D
23027568,101912016,HOUSTON ISD,WASHINGTON B T HIGH SCHOOL,C
23040025,101912241,HOUSTON ISD,SINCLAIR ELEMENTARY,B
23040025,101912015,HOUSTON ISD,WALTRIP HIGH SCHOOL,C
23068653,101912273,HOUSTON ISD,ASHFORD ELEMENTARY,F
23068653,101912036,HOUSTON ISD,WESTSIDE HIGH SCHOOL,B
23080784,101912136,HOUSTON ISD,CUNNINGHAM ELEMENTARY,C
23080784,101912002,HOUSTON ISD,BELLAIRE HIGH SCHOOL,B
23148917,101912140,HOUSTON ISD,DOGAN ELEMENTARY,C
23148917,101912018,HOUSTON ISD,WHEATLEY HIGH SCHOOL,F
23181973,101912192,HOUSTON ISD,LANTRIP ELEMENTARY,C
23181973,101912018,HOUSTON ISD,WHEATLEY HIGH SCHOOL,F
23243852,101912473,HOUSTON ISD,HILLIARD ELEMENTARY,D
23243852,101912477,HOUSTON ISD,NORTH FOREST HIGH SCHOOL,D
23267723,101912204,HOUSTON ISD,MEMORIAL ELEMENTARY,A
23267723,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
23268054,101912110,HOUSTON ISD,BLACKSHEAR ELEMENTARY,C
23268054,101912020,HOUSTON ISD,YATES HIGH SCHOOL,D
23302582,101912116,HOUSTON ISD,BRIARGROVE ELEMENTARY,B
23302582,101912009,HOUSTON ISD,WISDOM HIGH SCHOOL,C
23306163,101912175,HOUSTON ISD,HOBBY ELEMENTARY,D
23306163,101912010,HOUSTON ISD,MADISON HIGH SCHOOL,C
23306732,101912182,HOUSTON ISD,JEFFERSON ELEMENTARY,B
23306732,101912012,HOUSTON ISD,HEIGHTS HIGH SCHOOL,B
23313882,101912157,HOUSTON ISD,GARDEN OAKS MONTESSORI,C
23313882,101912015,HOUSTON ISD,WALTRIP HIGH SCHOOL,C
23353569,101912058,HOUSTON ISD,GREGORY-LINCOLN ELEMENTARY,D
23353569,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
23355807,101912241,HOUSTON ISD,SINCLAIR ELEMENTARY,B
23355807,101912015,HOUSTON ISD,WALTRIP HIGH SCHOOL,C
23367647,101912144,HOUSTON ISD,DURKEE ELEMENTARY,C
23367647,101912310,HOUSTON ISD,HOUSTON MATH SCIENCE AND TECHNOLOG,C
23374823,101912156,HOUSTON ISD,FROST ELEMENTARY,B
23374823,101912014,HOUSTON ISD,STERLING HIGH SCHOOL,C
23389353,101912204,HOUSTON ISD,MEMORIAL ELEMENTARY,A
23389353,101912012,HOUSTON ISD,HEIGHTS HIGH SCHOOL,B
23420023,101912182,HOUSTON ISD,JEFFERSON ELEMENTARY,B
23420023,101912012,HOUSTON ISD,HEIGHTS HIGH SCHOOL,B
23431940,101912152,HOUSTON ISD,FIELD ELEMENTARY,A
23431940,101912012,HOUSTON ISD,HEIGHTS HIGH SCHOOL,B
23453730,101912276,HOUSTON ISD,SHADOWBRIAR ELEMENTARY,D
23453730,101912036,HOUSTON ISD,WESTSIDE HIGH SCHOOL,B
23531986,101912201,HOUSTON ISD,MACGREGOR ELEMENTARY,C
23531986,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
23549544,101912201,HOUSTON ISD,MACGREGOR ELEMENTARY,C
23549544,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
23586363,101912286,HOUSTON ISD,HERRERA ELEMENTARY,A
23586363,101912310,HOUSTON ISD,HOUSTON MATH SCIENCE AND TECHNOLOG,C
23604668,101912198,HOUSTON ISD,LOVE ELEMENTARY,C
23604668,101912015,HOUSTON ISD,WALTRIP HIGH SCHOOL,C
23606214,101912157,HOUSTON ISD,GARDEN OAKS MONTESSORI,C
23606214,101912015,HOUSTON ISD,WALTRIP HIGH SCHOOL,C
23612646,101912116,HOUSTON ISD,BRIARGROVE ELEMENTARY,B
23612646,101912009,HOUSTON ISD,WISDOM HIGH SCHOOL,C
23622543,101912221,HOUSTON ISD,POE ELEMENTARY,B
23622543,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
23623971,101912116,HOUSTON ISD,BRIARGROVE ELEMENTARY,B
23623971,101912009,HOUSTON ISD,WISDOM HIGH SCHOOL,C
23626901,101912156,HOUSTON ISD,FROST ELEMENTARY,B
23626901,101912014,HOUSTON ISD,STERLING HIGH SCHOOL,C
23681012,101912178,HOUSTON ISD,HORN ELEMENTARY,A
23681012,101912002,HOUSTON ISD,BELLAIRE HIGH SCHOOL,B
23797675,101912174,HOUSTON ISD,HIGHLAND HTS ELEMENTARY,D
23797675,101912016,HOUSTON ISD,WASHINGTON B T HIGH SCHOOL,C
23811079,101912105,HOUSTON ISD,ANDERSON ELEMENTARY,D
23811079,101912017,HOUSTON ISD,WESTBURY HIGH SCHOOL,C
23892728,101912292,HOUSTON ISD,CARRILLO ELEMENTARY,B
23892728,101912001,HOUSTON ISD,AUSTIN HIGH SCHOOL,C
23935015,101912221,HOUSTON ISD,POE ELEMENTARY,B
23935015,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
23950267,101912170,HOUSTON ISD,HELMS ELEMENTARY,B
23950267,101912012,HOUSTON ISD,HEIGHTS HIGH SCHOOL,B
23990208,101912116,HOUSTON ISD,BRIARGROVE ELEMENTARY,B
23990208,101912009,HOUSTON ISD,WISDOM HIGH SCHOOL,C
24064043,101912121,HOUSTON ISD,BRUCE ELEMENTARY,D
24064043,101912018,HOUSTON ISD,WHEATLEY HIGH SCHOOL,F
24087275,101912116,HOUSTON ISD,BRIARGROVE ELEMENTARY,B
24087275,101912009,HOUSTON ISD,WISDOM HIGH SCHOOL,C
24104040,101912189,HOUSTON ISD,KOLTER ELEMENTARY,A
24104040,101912002,HOUSTON ISD,BELLAIRE HIGH SCHOOL,B
24120006,101912178,HOUSTON ISD,HORN ELEMENTARY,A
24120006,101912002,HOUSTON ISD,BELLAIRE HIGH SCHOOL,B
24166348,101912148,HOUSTON ISD,ELROD ELEMENTARY,A
24166348,101912017,HOUSTON ISD,WESTBURY HIGH SCHOOL,C
24185831,101912204,HOUSTON ISD,MEMORIAL ELEMENTARY,A
24185831,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
24188362,101912130,HOUSTON ISD,CONDIT ELEMENTARY,A
24188362,101912002,HOUSTON ISD,BELLAIRE HIGH SCHOOL,B
24212652,101912182,HOUSTON ISD,JEFFERSON ELEMENTARY,B
24212652,101912012,HOUSTON ISD,HEIGHTS HIGH SCHOOL,B
24238516,101912187,HOUSTON ISD,KELSO ELEMENTARY,C
24238516,101912019,HOUSTON ISD,WORTHING HIGH SCHOOL,C
24273472,101912221,HOUSTON ISD,POE ELEMENTARY,B
24273472,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
24275833,101912241,HOUSTON ISD,SINCLAIR ELEMENTARY,B
24275833,101912015,HOUSTON ISD,WALTRIP HIGH SCHOOL,C
24289083,101912247,HOUSTON ISD,YOUNG ELEMENTARY,F
24289083,101912019,HOUSTON ISD,WORTHING HIGH SCHOOL,C
24301550,101912130,HOUSTON ISD,CONDIT ELEMENTARY,A
24301550,101912002,HOUSTON ISD,BELLAIRE HIGH SCHOOL,B
24313943,101912204,HOUSTON ISD,MEMORIAL ELEMENTARY,A
24313943,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
24353092,101912201,HOUSTON ISD,MACGREGOR ELEMENTARY,C
24353092,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
24470436,101912116,HOUSTON ISD,BRIARGROVE ELEMENTARY,B
24470436,101912009,HOUSTON ISD,WISDOM HIGH SCHOOL,C
24509312,101912199,HOUSTON ISD,LOVETT ELEMENTARY,B
24509312,101912002,HOUSTON ISD,BELLAIRE HIGH SCHOOL,B
24515679,101912274,HOUSTON ISD,ASKEW ELEMENTARY,C
24515679,101912036,HOUSTON ISD,WESTSIDE HIGH SCHOOL,B
24527943,101912249,HOUSTON ISD,TRAVIS ELEMENTARY,A
24527943,101912012,HOUSTON ISD,HEIGHTS HIGH SCHOOL,B
24609584,101912182,HOUSTON ISD,JEFFERSON ELEMENTARY,B
24609584,101912012,HOUSTON ISD,HEIGHTS HIGH SCHOOL,B
24750791,101912394,HOUSTON ISD,NEFF ELEMENTARY,C
24750791,101912023,HOUSTON ISD,SHARPSTOWN HIGH SCHOOL,C
24755039,101912196,HOUSTON ISD,LONGFELLOW ELEMENTARY,B
24755039,101912002,HOUSTON ISD,BELLAIRE HIGH SCHOOL,B
24757842,101912178,HOUSTON ISD,HORN ELEMENTARY,A
24757842,101912002,HOUSTON ISD,BELLAIRE HIGH SCHOOL,B
24795278,101912253,HOUSTON ISD,WALNUT BEND ELEMENTARY,C
24795278,101912036,HOUSTON ISD,WESTSIDE HIGH SCHOOL,B
24831623,101912245,HOUSTON ISD,STEVENS ELEMENTARY,D
24831623,101912015,HOUSTON ISD,WALTRIP HIGH SCHOOL,C
24873832,101912102,HOUSTON ISD,ALCOTT ELEMENTARY,B
24873832,101912019,HOUSTON ISD,WORTHING HIGH SCHOOL,C
24880804,101912241,HOUSTON ISD,SINCLAIR ELEMENTARY,B
24880804,101912015,HOUSTON ISD,WALTRIP HIGH SCHOOL,C
24899646,101912217,HOUSTON ISD,PECK ELEMENTARY,C
24899646,101912020,HOUSTON ISD,YATES HIGH SCHOOL,D
24925594,101912239,HOUSTON ISD,SHEARN ELEMENTARY,C
24925594,101912010,HOUSTON ISD,MADISON HIGH SCHOOL,C
24927770,101912243,HOUSTON ISD,THOMPSON ELEMENTARY,C
24927770,101912020,HOUSTON ISD,YATES HIGH SCHOOL,D
24941469,101912104,HOUSTON ISD,ALMEDA ELEMENTARY,C
24941469,101912019,HOUSTON ISD,WORTHING HIGH SCHOOL,C
24941956,101912187,HOUSTON ISD,KELSO ELEMENTARY,C
24941956,101912019,HOUSTON ISD,WORTHING HIGH SCHOOL,C
24966498,101914106,KATY ISD,BEAR CREEK ELEMENTARY,C
24966498,101914005,KATY ISD,MAYDE CREEK HIGH SCHOOL,B
24973759,101912128,HOUSTON ISD,LYONS ELEMENTARY,B
24973759,101912310,HOUSTON ISD,HOUSTON MATH SCIENCE AND TECHNOLOG,C
24989750,101912198,HOUSTON ISD,LOVE ELEMENTARY,C
24989750,101912012,HOUSTON ISD,HEIGHTS HIGH SCHOOL,B
25026097,101912156,HOUSTON ISD,FROST ELEMENTARY,B
25026097,101912014,HOUSTON ISD,STERLING HIGH SCHOOL,C
25031177,101912228,HOUSTON ISD,RIVER OAKS ELEMENTARY,A
25031177,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
25092399,101912108,HOUSTON ISD,BASTIAN ELEMENTARY,B
25092399,101912019,HOUSTON ISD,WORTHING HIGH SCHOOL,C
25116086,101912229,HOUSTON ISD,ROBERTS ELEMENTARY,A
25116086,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
25120242,101912114,HOUSTON ISD,BRAEBURN ELEMENTARY,B
25120242,101912002,HOUSTON ISD,BELLAIRE HIGH SCHOOL,B
25221761,101912227,HOUSTON ISD,MCNAMARA ELEMENTARY,B
25221761,101912023,HOUSTON ISD,SHARPSTOWN HIGH SCHOOL,C
25226562,101912241,HOUSTON ISD,SINCLAIR ELEMENTARY,B
25226562,101912015,HOUSTON ISD,WALTRIP HIGH SCHOOL,C
25267061,101912251,HOUSTON ISD,TWAIN ELEMENTARY,A
25267061,101912002,HOUSTON ISD,BELLAIRE HIGH SCHOOL,B
25308773,101912264,HOUSTON ISD,MITCHELL ELEMENTARY,C
25308773,101912014,HOUSTON ISD,STERLING HIGH SCHOOL,C
25325660,101912198,HOUSTON ISD,LOVE ELEMENTARY,C
25325660,101912012,HOUSTON ISD,HEIGHTS HIGH SCHOOL,B
25356952,101912240,HOUSTON ISD,SHERMAN ELEMENTARY,C
25356952,101912003,HOUSTON ISD,NORTHSIDE HIGH SCHOOL,C
25368930,101912188,HOUSTON ISD,KENNEDY ELEMENTARY,C
25368930,101912016,HOUSTON ISD,WASHINGTON B T HIGH SCHOOL,C
25432234,101912229,HOUSTON ISD,ROBERTS ELEMENTARY,A
25432234,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
25541252,101912249,HOUSTON ISD,TRAVIS ELEMENTARY,A
25541252,101912012,HOUSTON ISD,HEIGHTS HIGH SCHOOL,B
25561058,101912149,HOUSTON ISD,EMERSON ELEMENTARY,C
25561058,101912009,HOUSTON ISD,WISDOM HIGH SCHOOL,C
25639464,101912256,HOUSTON ISD,WHARTON K-8 DUAL LANGUAGE ACADEMY,B
25639464,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
25642362,101912198,HOUSTON ISD,LOVE ELEMENTARY,C
25642362,101912012,HOUSTON ISD,HEIGHTS HIGH SCHOOL,B
25684456,101912156,HOUSTON ISD,FROST ELEMENTARY,B
25684456,101912014,HOUSTON ISD,STERLING HIGH SCHOOL,C
25707623,101912140,HOUSTON ISD,DOGAN ELEMENTARY,C
25707623,101912018,HOUSTON ISD,WHEATLEY HIGH SCHOOL,F
25752563,101912256,HOUSTON ISD,WHARTON K-8 DUAL LANGUAGE ACADEMY,B
25752563,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
25761043,101912204,HOUSTON ISD,MEMORIAL ELEMENTARY,A
25761043,101912012,HOUSTON ISD,HEIGHTS HIGH SCHOOL,B
25897636,101912245,HOUSTON ISD,STEVENS ELEMENTARY,D
25897636,101912015,HOUSTON ISD,WALTRIP HIGH SCHOOL,C
25898314,101912292,HOUSTON ISD,CARRILLO ELEMENTARY,B
25898314,101912001,HOUSTON ISD,AUSTIN HIGH SCHOOL,C
25917622,101912252,HOUSTON ISD,WAINWRIGHT ELEMENTARY,D
25917622,101912024,HOUSTON ISD,SCARBOROUGH HIGH SCHOOL,C
25929121,101912174,HOUSTON ISD,HIGHLAND HTS ELEMENTARY,D
25929121,101912016,HOUSTON ISD,WASHINGTON B T HIGH SCHOOL,C
25951620,101912058,HOUSTON ISD,GREGORY-LINCOLN ELEMENTARY,D
25951620,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
25996363,101912116,HOUSTON ISD,BRIARGROVE ELEMENTARY,B
25996363,101912009,HOUSTON ISD,WISDOM HIGH SCHOOL,C
26012702,101912359,HOUSTON ISD,MORENO ELEMENTARY,A
26012702,101912310,HOUSTON ISD,HOUSTON MATH SCIENCE AND TECHNOLOG,C
26022541,101912242,HOUSTON ISD,SMITH ELEMENTARY,F
26022541,101912024,HOUSTON ISD,SCARBOROUGH HIGH SCHOOL,C
26041021,101912217,HOUSTON ISD,PECK ELEMENTARY,C
26041021,101912020,HOUSTON ISD,YATES HIGH SCHOOL,D
26058564,101912130,HOUSTON ISD,CONDIT ELEMENTARY,A
26058564,101912002,HOUSTON ISD,BELLAIRE HIGH SCHOOL,B
26061449,101912199,HOUSTON ISD,LOVETT ELEMENTARY,B
26061449,101912002,HOUSTON ISD,BELLAIRE HIGH SCHOOL,B
26095848,101912124,HOUSTON ISD,BURNET ELEMENTARY,B
26095848,101912001,HOUSTON ISD,AUSTIN HIGH SCHOOL,C
26130291,101912267,HOUSTON ISD,WHITE ELEMENTARY,B
